ground distance, LOS dist, two ray, free space
5, 45.2769, 62.5678, 64.7067
6, 45.3982, 63.3026, 64.5926
7, 45.5412, 64.6328, 64.6652
8, 45.7056, 66.5839, 64.8353
9, 45.8912, 68.2013, 64.7556
10, 46.0977, 67.5922, 64.8253
11, 46.3249, 64.781, 64.7127
12, 46.5725, 62.8989, 64.8144
13, 46.8402, 62.1342, 64.8642
14, 47.1275, 62.6928, 65.0281
15, 47.4342, 64.876, 65.1802
16, 47.7598, 68.2319, 65.2486
17, 48.1041, 67.4794, 65.1843
18, 48.4665, 63.8548, 65.2737
19, 48.8467, 62.5249, 65.3836
20, 49.2443, 63.3835, 65.401
21, 49.6588, 66.7814, 65.4453
22, 50.0899, 68.7134, 65.477
23, 50.5371, 64.4733, 65.4285
24, 51, 62.8152, 65.6572
25, 51.4782, 64.1949, 65.8953
26, 51.9711, 68.4074, 65.9133
27, 52.4786, 68.0857, 66.1628
28, 53, 63.9738, 66.0109
29, 53.535, 63.4483, 66.0982
30, 54.0833, 66.4452, 66.1045
31, 54.6443, 70.2448, 66.459
32, 55.2178, 65.5173, 66.4374
33, 55.8032, 63.5959, 66.4651
34, 56.4004, 64.9881, 66.307
35, 57.0088, 69.81, 66.5771
36, 57.6281, 67.3361, 66.7665
37, 58.258, 64.3408, 66.9587
38, 58.8982, 64.8199, 66.8818
39, 59.5483, 69.0111, 67.1065
40, 60.208, 69.5, 67.1185
41, 60.8769, 65.1705, 67.1109
42, 61.5549, 64.5392, 67.3281
43, 62.2415, 67.3206, 67.3485
44, 62.9365, 70.6512, 67.2636
45, 63.6396, 67.3953, 67.6416
46, 64.3506, 65.168, 67.8974
47, 65.0692, 65.8524, 67.7129
48, 65.7951, 69.881, 67.8523
49, 66.5282, 70.2149, 67.9399
50, 67.2681, 66.4747, 68.2078
51, 68.0147, 65.4187, 68.2213
52, 68.7677, 67.1505, 68.0977
53, 69.527, 71.7714, 68.338
54, 70.2922, 69.8805, 68.4526
55, 71.0634, 66.5872, 68.5387
56, 71.8401, 65.9922, 68.7498
57, 72.6223, 67.8066, 68.6947
58, 73.4098, 71.6838, 68.7798
59, 74.2024, 70.9083, 69.0242
60, 75, 67.2468, 68.9983
61, 75.8024, 66.4538, 69.2633
62, 76.6094, 67.8859, 69.4075
63, 77.4209, 71.2021, 69.4108
64, 78.2368, 72.6278, 69.4177
65, 79.0569, 69.2361, 69.5083
66, 79.8812, 67.1196, 69.5222
67, 80.7094, 67.1403, 69.7721
68, 81.5414, 68.9249, 69.6007
69, 82.3772, 72.2534, 69.7444
70, 83.2166, 72.7603, 69.897
71, 84.0595, 69.7917, 70.1478
72, 84.9058, 67.8721, 70.2169
73, 85.7555, 67.6891, 70.1472
74, 86.6083, 69.2788, 70.244
75, 87.4643, 72.0925, 70.2013
76, 88.3233, 73.3879, 70.3562
77, 89.1852, 71.4407, 70.5444
78, 90.05, 69.0719, 70.6988
79, 90.9175, 68.2018, 70.5906
80, 91.7878, 68.4946, 70.6776
81, 92.6607, 70.4713, 70.747
82, 93.5361, 72.8075, 70.7885
83, 94.414, 74.2146, 71.0524
84, 95.2943, 72.0813, 71.1089
85, 96.1769, 69.9429, 71.1499
86, 97.0618, 69.0161, 71.2381
87, 97.949, 69.1343, 71.3607
88, 98.8383, 70.4435, 71.7313
89, 99.7296, 72.2946, 71.5723
90, 100.623, 74.2578, 71.5576
91, 101.518, 74.3106, 71.7134
92, 102.416, 72.2244, 71.642
93, 103.315, 70.8213, 71.9304
94, 104.216, 69.7766, 71.8148
95, 105.119, 69.8947, 72.11
96, 106.024, 70.5597, 72.0008
97, 106.93, 71.6954, 71.8634
98, 107.838, 73.834, 72.1743
99, 108.747, 74.9974, 72.2932
100, 109.659, 74.6852, 72.3635
101, 110.571, 72.7861, 72.3526
102, 111.485, 71.5085, 72.5915
103, 112.401, 70.7988, 72.5017
104, 113.318, 70.6017, 72.7286
105, 114.237, 70.96, 72.675
106, 115.156, 71.9033, 72.7643
107, 116.078, 73.1068, 72.851
108, 117, 74.8464, 72.9684
109, 117.924, 75.2345, 72.8903
110, 118.849, 75.0032, 73.0979
111, 119.775, 73.7033, 73.0971
112, 120.702, 72.4026, 73.0074
113, 121.631, 71.6587, 73.1121
114, 122.56, 71.5054, 73.2706
115, 123.491, 71.5841, 73.4597
116, 124.423, 72.1549, 73.4343
117, 125.355, 73.0074, 73.5189
118, 126.289, 73.8298, 73.5093
119, 127.224, 74.8851, 73.6321
120, 128.16, 75.9908, 73.8337
121, 129.097, 75.6297, 73.6809
122, 130.035, 74.9567, 73.9081
123, 130.973, 74.2283, 73.8822
124, 131.913, 73.2016, 73.9486
