Ground distance, pathloss, LOS distance, average ray length
248, 70.3078, 248, 247.665
250, 70.1143, 250, 249.663
255, 71.799, 255, 254.636
260, 70.9985, 260, 259.672
265, 70.6204, 265, 264.626
270, 70.5345, 270, 269.623
275, 69.4445, 275, 274.676
280, 69.601, 280, 279.621
285, 72.7651, 285, 284.649
290, 71.4034, 290, 289.662
295, 70.4322, 295, 294.64
300, 71.9612, 300, 299.635
305, 72.3851, 305, 304.631
310, 71.4997, 310, 309.634
315, 69.9546, 315, 314.548
320, 70.9457, 320, 319.638
325, 71.4754, 325, 324.616
330, 71.6081, 330, 329.578
335, 72.4081, 335, 334.553
340, 73.6283, 340, 339.536
345, 75.2164, 345, 344.621
350, 73.5804, 350, 349.537
355, 73.4233, 355, 354.519
360, 71.9687, 360, 359.55
365, 73.6646, 365, 364.545
370, 73.2713, 370, 369.514
375, 71.7909, 375, 374.466
380, 72.4384, 380, 379.529
385, 74.7079, 385, 384.518
390, 73.4937, 390, 389.442
395, 72.7746, 395, 394.549
400, 73.4909, 400, 399.507
405, 74.5679, 405, 404.486
410, 72.7363, 410, 409.486
415, 76.0291, 415, 414.606
420, 75.164, 420, 419.425
425, 74.9866, 425, 424.561
430, 73.5121, 430, 429.44
435, 77.6873, 435, 434.44
440, 76.9151, 440, 439.331
445, 73.8099, 445, 444.426
450, 73.9069, 450, 449.476
455, 72.9962, 455, 454.48
460, 74.7048, 460, 459.48
465, 73.8296, 465, 464.393
470, 75.8607, 470, 469.479
475, 74.9835, 475, 474.366
480, 76.0436, 480, 479.5
485, 75.1645, 485, 484.406
490, 75.4764, 490, 489.4
495, 76.3109, 495, 494.431
500, 76.9781, 500, 499.332
505, 75.5155, 505, 504.357
510, 75.6011, 510, 509.379
515, 75.9086, 515, 514.357
520, 75.3558, 520, 519.354
525, 76.0756, 525, 524.447
530, 76.158, 530, 529.392
535, 76.0167, 535, 534.299
540, 76.0975, 540, 539.334
545, 79.6455, 545, 544.305
550, 77.5063, 550, 549.27
555, 76.1236, 555, 554.418
560, 75.4443, 560, 559.406
565, 76.7134, 565, 564.253
570, 77.273, 570, 569.315
575, 75.1818, 575, 574.249
580, 77.1758, 580, 579.238
585, 77.0156, 585, 584.299
590, 78.7376, 590, 589.2
595, 77.3976, 595, 594.235
600, 76.4057, 600, 599.277
610, 76.3645, 610, 609.225
