Ground distance, pathloss, LOS distance, average ray length
5, 35.6265, 5, 4.99108
6, 37.3123, 6, 5.98839
7, 38.7559, 7, 6.98574
8, 40.023, 8, 7.98394
9, 40.732, 9, 8.98252
10, 42.184, 10, 9.9802
11, 42.899, 11, 10.979
12, 44.1247, 12, 11.9797
13, 44.0282, 13, 12.9759
14, 46.4328, 14, 13.9721
15, 44.876, 15, 14.9704
16, 47.7506, 16, 15.9726
17, 47.0278, 17, 16.9673
18, 46.6527, 18, 17.9664
19, 46.9293, 19, 18.9656
20, 48.4394, 20, 19.9662
21, 48.6283, 21, 20.9647
22, 48.9196, 22, 21.9576
23, 49.6533, 23, 22.9587
24, 49.7882, 24, 23.9517
25, 50.6258, 25, 24.9536
26, 50.5992, 26, 25.9549
27, 50.4812, 27, 26.9495
28, 50.3928, 28, 27.9493
29, 51.1019, 29, 28.9435
30, 52.6106, 30, 29.9447
31, 51.8984, 31, 30.9476
32, 52.287, 32, 31.9393
33, 52.6701, 33, 32.9369
34, 52.7007, 34, 33.9387
35, 52.9525, 35, 34.9343
36, 54.6363, 36, 35.9293
37, 53.218, 37, 36.9227
38, 53.6668, 38, 37.9277
39, 54.1211, 39, 38.9241
40, 53.302, 40, 39.926
41, 54.2169, 41, 40.9252
42, 55.0061, 42, 41.927
43, 53.9302, 43, 42.9258
44, 56.0796, 44, 43.9176
45, 53.8033, 45, 44.9148
46, 55.5549, 46, 45.9168
47, 55.2959, 47, 46.9091
48, 55.3741, 48, 47.9091
49, 56.2227, 49, 48.9163
50, 55.8334, 50, 49.9102
51, 56.8184, 51, 50.896
52, 55.6743, 52, 51.9047
53, 57.4158, 53, 52.8964
54, 57.7161, 54, 53.8972
55, 58.1651, 55, 54.9002
56, 55.7855, 56, 55.8927
57, 57.4173, 57, 56.8864
58, 56.0076, 58, 57.8871
59, 57.1663, 59, 58.8922
60, 58.23, 60, 59.8978
61, 58.0064, 61, 60.889
62, 57.5971, 62, 61.8793
63, 57.948, 63, 62.8894
64, 57.9776, 64, 63.8831
65, 59.0549, 65, 64.8696
66, 58.038, 66, 65.8726
67, 58.1686, 67, 66.8757
68, 59.1913, 68, 67.8691
69, 59.5736, 69, 68.8831
70, 59.6986, 70, 69.8699
71, 59.8218, 71, 70.8634
72, 60.2148, 72, 71.866
73, 60.0631, 73, 72.868
74, 59.1339, 74, 73.8636
75, 59.0485, 75, 74.8612
76, 61.796, 76, 75.8572
77, 59.801, 77, 76.856
78, 60.5089, 78, 77.8555
79, 60.0237, 79, 78.8613
80, 59.6091, 80, 79.8545
81, 59.1618, 81, 80.8422
82, 60.0256, 82, 81.8441
83, 59.7358, 83, 82.8543
84, 61.4159, 84, 83.8413
85, 59.1666, 85, 84.8441
86, 62.522, 86, 85.8571
87, 61.4574, 87, 86.852
88, 60.8509, 88, 87.8361
89, 60.7371, 89, 88.8362
90, 61.5036, 90, 89.8129
91, 60.4416, 91, 90.8467
92, 62.6336, 92, 91.8204
93, 60.7239, 93, 92.8245
94, 62.3929, 94, 93.845
95, 60.8153, 95, 94.8202
96, 61.4994, 96, 95.825
97, 62.5321, 97, 96.8141
98, 61.2742, 98, 97.8237
99, 62.2125, 99, 98.8277
100, 61.9612, 100, 99.8332
101, 62.6275, 101, 100.812
102, 62.2432, 102, 101.796
103, 62.3279, 103, 102.802
104, 62.1946, 104, 103.817
105, 62.8426, 105, 104.792
106, 62.3601, 106, 105.804
107, 62.0373, 107, 106.81
108, 62.3156, 108, 107.799
109, 61.8284, 109, 108.79
110, 62.899, 110, 109.798
111, 62.0758, 111, 110.805
112, 63.2841, 112, 111.801
113, 62.8109, 113, 112.789
114, 63.2092, 114, 113.782
115, 63.3979, 115, 114.776
116, 63.9562, 116, 115.789
117, 62.6245, 117, 116.772
118, 63.5088, 118, 117.789
119, 63.1581, 119, 118.779
120, 64.9414, 120, 119.776
121, 63.9555, 121, 120.795
122, 63.6884, 122, 121.768
123, 63.7593, 123, 122.754
124, 63.6177, 124, 123.801
125, 63.8994, 125, 124.772
126, 64.3072, 126, 125.763
127, 65.4339, 127, 126.769
128, 63.5939, 128, 127.777
129, 63.2039, 129, 128.759
130, 63.1006, 130, 129.75
131, 63.2515, 131, 130.758
132, 63.9588, 132, 131.757
133, 65.4073, 133, 132.756
134, 63.9918, 134, 133.76
135, 64.9065, 135, 134.738
136, 64.8547, 136, 135.74
137, 64.1841, 137, 136.747
138, 64.5469, 138, 137.733
139, 65.0443, 139, 138.731
140, 65.7192, 140, 139.745
141, 65.9147, 141, 140.738
142, 65.007, 142, 141.75
143, 65.5255, 143, 142.753
144, 65.2384, 144, 143.75
145, 65.2985, 145, 144.712
146, 64.8343, 146, 145.721
147, 64.796, 147, 146.711
148, 66.4734, 148, 147.698
149, 66.8215, 149, 148.696
150, 64.876, 150, 149.739
152, 66.178, 152, 151.683
154, 65.9344, 154, 153.726
156, 66.2813, 156, 155.698
158, 65.4228, 158, 157.69
160, 65.9364, 160, 159.69
162, 66.3743, 162, 161.703
164, 66.4808, 164, 163.682
166, 65.7564, 166, 165.661
168, 66.806, 168, 167.66
170, 68.1192, 170, 169.655
172, 66.5645, 172, 171.682
174, 67.7413, 174, 173.665
176, 66.8715, 176, 175.684
178, 66.9696, 178, 177.677
180, 68.0357, 180, 179.669
182, 66.7487, 182, 181.659
184, 67.1503, 184, 183.691
186, 67.69, 186, 185.641
188, 68.9934, 188, 187.679
190, 67.2222, 190, 189.636
192, 67.7372, 192, 191.634
194, 67.4031, 194, 193.61
196, 68.9133, 196, 195.632
198, 68.3521, 198, 197.654
200, 69.2312, 200, 199.614
202, 67.8563, 202, 201.588
204, 67.7399, 204, 203.619
206, 68.2385, 206, 205.592
208, 68.1106, 208, 207.637
210, 68.2983, 210, 209.585
212, 67.9764, 212, 211.6
214, 68.5695, 214, 213.621
216, 68.6503, 216, 215.602
218, 68.4162, 218, 217.638
220, 68.5978, 220, 219.591
222, 68.8883, 222, 221.568
224, 68.5522, 224, 223.553
226, 69.2661, 226, 225.554
228, 69.1199, 228, 227.569
230, 69.3057, 230, 229.569
232, 68.3896, 232, 231.575
234, 68.7385, 234, 233.579
236, 69.758, 236, 235.549
238, 69.9503, 238, 237.572
240, 68.2621, 240, 239.554
242, 69.0305, 242, 241.556
244, 69.1975, 244, 243.521
246, 70.6154, 246, 245.54
248, 70.556, 248, 247.505
250, 69.6059, 250, 249.527
255, 69.3002, 255, 254.507
260, 69.9466, 260, 259.498
265, 69.204, 265, 264.459
270, 69.449, 270, 269.543
275, 71.4537, 275, 274.476
280, 71.4843, 280, 279.494
285, 71.3967, 285, 284.409
290, 71.4319, 290, 289.454
295, 71.9376, 295, 294.427
300, 71.6136, 300, 299.5
305, 72.7542, 305, 304.387
310, 71.6812, 310, 309.459
315, 71.9274, 315, 314.461
320, 72.287, 320, 319.42
325, 71.7849, 325, 324.375
330, 71.82, 330, 329.349
335, 72.572, 335, 334.343
340, 72.5908, 340, 339.411
345, 74.4245, 345, 344.319
350, 71.8735, 350, 349.343
355, 72.174, 355, 354.315
360, 74.1942, 360, 359.26
365, 72.238, 365, 364.293
370, 73.3252, 370, 369.336
375, 72.7414, 375, 374.276
380, 73.2428, 380, 379.281
385, 73.3563, 385, 384.194
390, 73.271, 390, 389.256
395, 75.4422, 395, 394.205
400, 75.399, 400, 399.333
405, 74.4489, 405, 404.237
410, 74.7968, 410, 409.266
415, 75.2913, 415, 414.141
420, 74.6489, 420, 419.214
425, 74.6389, 425, 424.286
430, 76.0272, 430, 429.196
435, 73.4276, 435, 434.18
440, 74.3187, 440, 439.174
445, 74.4169, 445, 444.238
450, 75.483, 450, 449.113
455, 75.9569, 455, 454.161
460, 75.7963, 460, 459.111
465, 74.8963, 465, 464.084
470, 75.9831, 470, 469.104
475, 75.2832, 475, 474.166
480, 75.9246, 480, 479.135
485, 76.0146, 485, 484.079
490, 75.5532, 490, 489.082
495, 77.8945, 495, 493.979
500, 76.1634, 500, 499.107
505, 76.137, 505, 504.066
510, 77.0817, 510, 508.985
515, 75.9855, 515, 514.062
520, 76.3912, 520, 519.032
525, 76.4743, 525, 523.933
530, 75.7463, 530, 528.952
535, 76.2142, 535, 534.002
540, 77.0666, 540, 538.882
545, 77.269, 545, 544.025
550, 76.9912, 550, 548.964
555, 76.7398, 555, 553.958
