ground distance, LOS dist, two ray, free space
190, 195.256, 78.0037, 77.3419
192, 197.203, 85.3471, 77.4302
194, 199.151, 91.4667, 77.5463
196, 201.099, 81.7855, 77.6419
198, 203.049, 77.5974, 77.7279
200, 205, 74.6702, 77.8576
202, 206.952, 74.0772, 77.9265
204, 208.904, 72.9589, 78.0304
206, 210.858, 72.2576, 78.109
208, 212.812, 72.1501, 77.9669
210, 214.767, 72.3686, 77.9894
212, 216.723, 72.8329, 78.0619
214, 218.68, 74.038, 78.3413
216, 220.638, 74.5914, 78.304
218, 222.596, 77.7926, 78.441
220, 224.555, 79.8939, 78.4783
222, 226.515, 82.8421, 78.4541
224, 228.475, 90.518, 78.6935
226, 230.437, 94.2062, 78.8602
228, 232.398, 85.8616, 78.7593
230, 234.361, 80.209, 78.9078
232, 236.324, 78.3461, 79.0174
234, 238.288, 76.8485, 79.0348
236, 240.252, 75.8027, 79.2448
238, 242.217, 74.0943, 79.2379
240, 244.182, 73.8822, 79.1975
242, 246.148, 73.4634, 79.3189
244, 248.115, 73.4677, 79.4601
246, 250.082, 73.5563, 79.5708
248, 252.05, 73.8349, 79.5682
250, 254.018, 73.7729, 79.6336
255, 258.94, 76.5207, 79.6435
260, 263.865, 80.8064, 79.8924
265, 268.794, 87.432, 80.0338
270, 273.724, 89.0606, 80.2412
275, 278.657, 82.6855, 80.5261
280, 283.593, 78.4812, 80.5489
285, 288.531, 76.2717, 80.813
290, 293.471, 75.2931, 81.0503
295, 298.412, 75.1139, 81.037
300, 303.356, 75.2471, 81.1688
305, 308.302, 76.3208, 81.1212
310, 313.249, 78.0249, 81.3057
315, 318.198, 79.5587, 81.5837
320, 323.149, 85.05, 81.8916
325, 328.101, 92.0011, 82.0215
330, 333.054, 94.8358, 81.9801
335, 338.009, 92.687, 82.067
340, 342.965, 85.0195, 82.2523
345, 347.922, 80.7466, 82.2112
350, 352.881, 79.9204, 82.5417
355, 357.841, 78.6858, 82.6896
360, 362.802, 78.0925, 82.6797
365, 367.764, 77.047, 82.9607
370, 372.726, 76.811, 82.6825
375, 377.69, 77.0903, 82.9988
380, 382.655, 78.3403, 83.4009
385, 387.621, 78.4181, 83.2718
390, 392.588, 78.938, 83.3737
395, 397.555, 79.1038, 83.4034
400, 402.523, 81.1173, 83.6103
405, 407.492, 83.5003, 83.6564
410, 412.462, 85.2019, 83.888
415, 417.433, 89.1878, 83.911
420, 422.404, 89.8104, 83.9471
425, 427.376, 97.6362, 84.0809
