Ground distance, pathloss, LOS distance, average ray length
248, 69.173, 248, 247.046
250, 70.0579, 250, 249
255, 70.4013, 255, 253.978
260, 70.6287, 260, 259.056
265, 70.7941, 265, 263.96
270, 70.9565, 270, 269.001
275, 71.5505, 275, 273.996
280, 70.7445, 280, 278.896
285, 70.8462, 285, 283.91
290, 71.0493, 290, 288.959
295, 71.0943, 295, 293.924
300, 71.9013, 300, 298.89
305, 72.0152, 305, 303.881
310, 71.5508, 310, 308.795
315, 71.6897, 315, 313.82
320, 73.1363, 320, 318.754
325, 71.9356, 325, 323.717
330, 72.2775, 330, 328.764
335, 72.8007, 335, 333.713
340, 72.7007, 340, 338.671
345, 72.969, 345, 343.61
350, 73.1228, 350, 348.689
355, 72.4784, 355, 353.707
360, 73.7612, 360, 358.552
365, 73.4298, 365, 363.686
370, 73.4631, 370, 368.573
375, 73.6078, 375, 373.58
380, 73.8955, 380, 378.623
385, 73.2074, 385, 383.49
390, 73.1053, 390, 388.505
395, 73.6812, 395, 393.505
400, 74.0846, 400, 398.554
405, 73.6964, 405, 403.48
410, 74.0832, 410, 408.532
415, 74.46, 415, 413.474
420, 75.0372, 420, 418.388
425, 74.2149, 425, 423.368
430, 74.4446, 430, 428.407
435, 74.2195, 435, 433.319
440, 74.8032, 440, 438.312
445, 75.2087, 445, 443.241
450, 74.6612, 450, 448.306
455, 75.0408, 455, 453.293
460, 75.4106, 460, 458.289
465, 75.3375, 465, 463.232
470, 75.4032, 470, 468.273
475, 75.6611, 475, 473.151
480, 75.954, 480, 478.215
485, 75.8139, 485, 483.163
490, 76.3762, 490, 488.141
495, 76.1626, 495, 493.077
500, 76.3086, 500, 498.137
505, 76.1092, 505, 503.123
510, 75.6987, 510, 508.212
515, 76.5359, 515, 513.085
520, 76.0953, 520, 518.112
525, 76.5587, 525, 523.01
530, 76.6981, 530, 528.134
535, 76.3684, 535, 533.037
540, 77.2831, 540, 537.971
545, 76.8551, 545, 542.937
550, 76.6086, 550, 547.883
555, 76.5078, 555, 552.983
560, 76.7913, 560, 557.865
565, 76.8949, 565, 562.937
570, 77.5363, 570, 568.01
575, 77.2092, 575, 572.871
580, 76.9157, 580, 577.796
585, 77.8842, 585, 582.906
590, 77.0642, 590, 587.739
595, 77.0624, 595, 592.7
600, 77.3906, 600, 597.646
610, 78.3418, 610, 607.783
620, 77.9469, 620, 617.649
630, 78.3457, 630, 627.706
640, 78.2791, 640, 637.611
650, 78.0335, 650, 647.556
660, 78.2981, 660, 657.614
