ground distance, LOS dist, two ray, free space
190, 195.256, 68.0213, 67.6682
192, 197.203, 68.0007, 67.6641
194, 199.151, 68.1471, 67.8165
196, 201.099, 68.5233, 68.218
198, 203.049, 68.375, 68.1219
200, 205, 68.3917, 68.1725
202, 206.952, 68.3841, 68.2011
204, 208.904, 68.4679, 68.3126
206, 210.858, 68.6002, 68.4649
208, 212.812, 68.567, 68.4565
210, 214.767, 68.664, 68.5724
212, 216.723, 68.9204, 68.8318
214, 218.68, 68.9279, 68.8451
216, 220.638, 68.9425, 68.8478
218, 222.596, 68.9728, 68.8662
220, 224.555, 69.0599, 68.9401
222, 226.515, 69.4513, 69.2905
224, 228.475, 69.5357, 69.3402
226, 230.437, 69.5414, 69.3066
228, 232.398, 69.6978, 69.4226
230, 234.361, 69.6485, 69.3372
232, 236.324, 69.7793, 69.4162
234, 238.288, 69.9705, 69.5579
236, 240.252, 70.11, 69.6512
238, 242.217, 70.1906, 69.6867
240, 244.182, 70.1013, 69.585
242, 246.148, 70.5865, 70.0056
244, 248.115, 70.336, 69.7555
246, 250.082, 70.6569, 70.0039
248, 252.05, 70.6636, 70.0171
250, 254.018, 70.8494, 70.1796
255, 258.94, 70.6973, 70.0884
260, 263.865, 70.8876, 70.3672
265, 268.794, 70.7495, 70.3522
275, 278.657, 71.0083, 70.9393
280, 283.593, 70.8741, 71.0064
285, 288.531, 70.8875, 71.1781
290, 293.471, 70.9422, 71.4988
295, 298.412, 70.6675, 71.3567
300, 303.356, 70.6399, 71.6264
305, 308.302, 70.7978, 71.918
310, 313.249, 70.4912, 71.6816
315, 318.198, 70.6654, 72.0786
320, 323.149, 70.6386, 72.1276
325, 328.101, 70.8904, 72.4722
330, 333.054, 70.7236, 72.2937
335, 338.009, 70.8622, 72.5878
340, 342.965, 70.9724, 72.723
345, 347.922, 71.1922, 72.8214
350, 352.881, 71.3362, 72.8663
355, 357.841, 71.5474, 73.0112
360, 362.802, 72.0723, 73.4072
365, 367.764, 71.907, 73.3515
370, 372.726, 72.0905, 73.1792
375, 377.69, 72.4522, 73.5083
380, 382.655, 72.6292, 73.7206
385, 387.621, 73.2217, 73.8438
390, 392.588, 73.1525, 73.8139
395, 397.555, 73.5948, 73.921
400, 402.523, 73.895, 74.0897
405, 407.492, 74.1919, 74.3071
410, 412.462, 74.6547, 74.3411
415, 417.433, 74.754, 74.2572
420, 422.404, 75.4503, 74.6192
425, 427.376, 75.8558, 74.6607
430, 432.348, 76.3146, 74.6605
435, 437.321, 76.0295, 74.6509
440, 442.295, 76.7463, 74.9038
445, 447.269, 77.098, 74.9748
450, 452.244, 77.6414, 75.1387
455, 457.22, 77.8478, 75.0734
460, 462.196, 78.2767, 75.1973
465, 467.172, 78.6622, 75.3442
470, 472.149, 78.8579, 75.5195
475, 477.127, 79.2093, 75.5165
480, 482.105, 80.3029, 75.9579
485, 487.083, 79.6548, 75.6959
490, 492.062, 79.8577, 75.7799
495, 497.041, 79.6929, 75.6813
500, 502.021, 79.7587, 75.8053
505, 507.001, 80.3095, 76.0744
510, 511.981, 80.4819, 76.2385
515, 516.962, 80.5075, 76.2609
520, 521.943, 79.9891, 76.2213
525, 526.925, 80.9061, 76.4795
530, 531.907, 80.2351, 76.5238
535, 536.889, 81.2569, 76.8881
540, 541.872, 80.2244, 76.7357
545, 546.855, 80.9437, 76.8086
550, 551.838, 80.2944, 76.8411
555, 556.821, 80.1917, 76.9743
560, 561.805, 80.1723, 77.1347
565, 566.789, 79.2121, 76.9351
570, 571.774, 79.589, 77.2156
575, 576.758, 79.3563, 77.0506
580, 581.743, 79.2281, 77.2667
585, 586.728, 78.5418, 77.3256
590, 591.714, 77.8731, 77.3324
595, 596.699, 78.7026, 77.4546
600, 601.685, 78.9452, 77.3971
610, 611.658, 78.3187, 77.5735
620, 621.631, 78.338, 77.8188
630, 631.605, 77.2311, 77.8926
640, 641.58, 77.6237, 78.1062
650, 651.556, 77.9627, 78.2511
660, 661.532, 77.9622, 78.4644
670, 671.509, 77.207, 78.7136
680, 681.487, 77.3318, 78.6434
690, 691.466, 77.3405, 78.7566
700, 701.445, 77.3612, 78.96
710, 711.425, 76.8171, 79.0255
720, 721.405, 76.979, 79.088
730, 731.386, 76.8737, 79.2659
740, 741.367, 76.865, 79.4121
750, 751.349, 76.6529, 79.4976
760, 761.331, 76.473, 79.571
770, 771.314, 76.9527, 79.6798
780, 781.297, 76.6192, 79.9342
790, 791.281, 76.4031, 79.9649
800, 801.265, 76.758, 80.1556
810, 811.249, 76.6331, 80.2033
820, 821.234, 76.5732, 80.2052
830, 831.219, 77.0382, 80.5623
840, 841.204, 76.7356, 80.5647
850, 851.19, 76.9719, 80.6539
860, 861.177, 76.8168, 80.8335
870, 871.163, 77.18, 80.7286
880, 881.15, 76.8724, 80.7233
890, 891.137, 77.027, 80.7981
900, 901.124, 77.1045, 81.3511
910, 911.112, 77.293, 81.1137
920, 921.1, 77.1085, 81.3662
930, 931.088, 77.3581, 81.451
940, 941.077, 77.3479, 81.352
950, 951.065, 77.3407, 81.5822
960, 961.054, 77.5025, 81.9173
970, 971.043, 77.4368, 81.6051
980, 981.033, 77.5887, 81.9451
990, 991.022, 77.6594, 82.0511
1000, 1001.01, 77.6076, 81.9053
