ground distance, LOS dist, two ray, free space
190, 195.256, 77.5271, 77.2941
192, 197.203, 77.7194, 77.4106
194, 199.151, 77.756, 77.4397
196, 201.099, 77.8777, 77.6067
198, 203.049, 77.8853, 77.7169
200, 205, 77.6124, 77.5538
202, 206.952, 77.7478, 77.7265
204, 208.904, 77.8701, 77.9265
206, 210.858, 77.8847, 77.9445
208, 212.812, 78.2681, 78.3138
210, 214.767, 78.1105, 78.13
212, 216.723, 78.2676, 78.272
214, 218.68, 78.4098, 78.412
216, 220.638, 78.6621, 78.6621
218, 222.596, 78.4194, 78.4823
220, 224.555, 78.4398, 78.5737
222, 226.515, 78.3097, 78.4962
224, 228.475, 78.5352, 78.7792
226, 230.437, 78.5386, 78.8005
228, 232.398, 78.5405, 78.7958
230, 234.361, 78.6585, 78.9231
232, 236.324, 78.8878, 78.9781
234, 238.288, 79.1025, 79.169
236, 240.252, 79.1628, 79.0781
238, 242.217, 79.4426, 79.2138
240, 244.182, 79.6914, 79.2492
242, 246.148, 79.9174, 79.4087
244, 248.115, 80.0441, 79.4163
246, 250.082, 80.1178, 79.5155
248, 252.05, 80.0151, 79.4388
250, 254.018, 80.0875, 79.6336
255, 258.94, 79.7807, 79.7265
260, 263.865, 79.4878, 79.9683
265, 268.794, 79.2857, 80.1643
270, 273.724, 79.2947, 80.1852
275, 278.657, 79.4972, 80.2725
280, 283.593, 80.4123, 80.5924
285, 288.531, 81.4005, 80.8308
290, 293.471, 82.2128, 80.9537
295, 298.412, 82.4026, 80.9848
300, 303.356, 82.5423, 81.1666
305, 308.302, 82.1371, 81.3842
310, 313.249, 81.9791, 81.5448
315, 318.198, 81.1535, 81.5684
320, 323.149, 80.3851, 81.595
325, 328.101, 80.3796, 81.8281
330, 333.054, 80.3119, 81.9021
335, 338.009, 80.4046, 82.039
340, 342.965, 80.9848, 82.3387
345, 347.922, 81.5632, 82.1609
350, 352.881, 82.3787, 82.7714
355, 357.841, 83.0181, 82.6763
360, 362.802, 84.2522, 82.6195
365, 367.764, 84.8841, 82.8389
370, 372.726, 85.7092, 83.0125
375, 377.69, 85.6073, 83.0922
380, 382.655, 85.1871, 83.042
385, 387.621, 84.2873, 83.2415
390, 392.588, 83.9722, 83.4767
395, 397.555, 82.934, 83.4981
