ground distance, LOS dist, two ray, free space
5, 45.2769, 60.5975, 64.6109
6, 45.3982, 61.7149, 64.7477
7, 45.5412, 63.5911, 64.7104
8, 45.7056, 66.9569, 64.9539
9, 45.8912, 68.5329, 64.4586
10, 46.0977, 68.2234, 65.1011
11, 46.3249, 63.5311, 64.8243
12, 46.5725, 61.118, 65.081
13, 46.8402, 60.1247, 64.838
14, 47.1275, 60.7266, 64.9055
15, 47.4342, 63.3346, 65.0249
16, 47.7598, 68.2895, 65.0503
17, 48.1041, 67.393, 65.2306
18, 48.4665, 61.9802, 65.1249
19, 48.8467, 60.3143, 65.2554
20, 49.2443, 61.4686, 65.5399
21, 49.6588, 66.0246, 65.1165
22, 50.0899, 70.1727, 65.765
23, 50.5371, 62.9799, 65.6442
24, 51, 60.6073, 65.6545
25, 51.4782, 62.0943, 65.716
26, 51.9711, 68.8043, 65.9523
27, 52.4786, 67.2029, 65.8205
28, 53, 61.8453, 66.1529
29, 53.535, 61.1057, 65.9602
30, 54.0833, 65.0464, 66.1595
31, 54.6443, 71.4942, 66.124
32, 55.2178, 63.7681, 66.2385
33, 55.8032, 61.6084, 66.7397
34, 56.4004, 63.3601, 66.519
35, 57.0088, 70.9921, 66.5157
36, 57.6281, 66.0136, 66.6479
37, 58.258, 61.7447, 66.8151
38, 58.8982, 62.5776, 66.5805
39, 59.5483, 68.4686, 67.0744
40, 60.208, 69.855, 67.0621
41, 60.8769, 63.1942, 67.1726
42, 61.5549, 62.1444, 67.1442
43, 62.2415, 65.8494, 67.5744
44, 62.9365, 75.8307, 67.7325
45, 63.6396, 65.6584, 67.6715
46, 64.3506, 62.5242, 67.483
47, 65.0692, 63.5176, 67.8098
48, 65.7951, 70.3145, 67.9758
49, 66.5282, 70.5591, 68.0371
50, 67.2681, 64.324, 68.4581
51, 68.0147, 62.6487, 68.239
52, 68.7677, 65.047, 67.9855
53, 69.527, 73.0785, 68.3169
54, 70.2922, 69.4669, 68.451
55, 71.0634, 64.2121, 68.4633
56, 71.8401, 63.5, 68.6648
57, 72.6223, 65.7461, 68.7001
58, 73.4098, 73.9775, 68.7551
59, 74.2024, 70.4976, 68.9409
60, 75, 64.7605, 68.9316
61, 75.8024, 63.4576, 69.0724
62, 76.6094, 65.4992, 69.3328
63, 77.4209, 70.4827, 69.2705
64, 78.2368, 75.0222, 69.4155
65, 79.0569, 67.5145, 69.734
66, 79.8812, 64.2223, 69.6809
67, 80.7094, 64.4309, 69.6661
68, 81.5414, 67.0501, 69.634
69, 82.3772, 73.3976, 69.6468
70, 83.2166, 74.7276, 69.8298
71, 84.0595, 67.378, 70.0242
72, 84.9058, 65.0239, 70.2563
73, 85.7555, 64.7228, 70.0242
74, 86.6083, 67.2099, 70.2543
75, 87.4643, 72.0112, 70.3251
76, 88.3233, 79.6198, 70.6553
77, 89.1852, 69.8234, 70.4943
78, 90.05, 66.125, 70.7825
79, 90.9175, 65.1176, 70.7054
80, 91.7878, 65.6841, 70.9741
81, 92.6607, 68.3544, 70.9699
82, 93.5361, 74.7063, 70.9966
83, 94.414, 82.3637, 71.2916
84, 95.2943, 70.8008, 71.1138
85, 96.1769, 67.5106, 71.2984
86, 97.0618, 65.849, 71.2538
87, 97.949, 65.8317, 71.4772
88, 98.8383, 67.4782, 71.6272
89, 99.7296, 71.5238, 71.6135
90, 100.623, 78.2357, 71.5963
91, 101.518, 79.0547, 71.7831
92, 102.416, 70.9382, 71.5099
93, 103.315, 67.4588, 71.8256
94, 104.216, 66.3183, 71.9159
95, 105.119, 66.3987, 72.2929
96, 106.024, 67.2595, 71.9145
97, 106.93, 70.2836, 72.3055
98, 107.838, 75.3841, 72.6166
99, 108.747, 85.3858, 72.2315
100, 109.659, 76.5816, 72.4581
101, 110.571, 71.3496, 72.43
102, 111.485, 68.7122, 72.3175
103, 112.401, 67.2843, 72.4123
104, 113.318, 66.8057, 72.7533
105, 114.237, 67.4544, 72.4031
106, 115.156, 69.1924, 72.7928
107, 116.078, 71.7486, 72.8472
108, 117, 76.3352, 72.8038
109, 117.924, 82.2122, 72.6882
110, 118.849, 77.2028, 72.9835
111, 119.775, 72.6031, 73.1294
112, 120.702, 69.7172, 73.3017
113, 121.631, 68.1644, 73.2432
114, 122.56, 67.5937, 73.3789
115, 123.491, 67.7153, 73.4849
116, 124.423, 68.4015, 73.2617
117, 125.355, 69.8247, 73.3598
118, 126.289, 71.9338, 73.5994
119, 127.224, 76.0334, 73.6933
120, 128.16, 84.9517, 73.5951
121, 129.097, 83.9162, 73.8755
122, 130.035, 76.0717, 73.9031
123, 130.973, 71.7281, 74.0467
124, 131.913, 69.9835, 74.0377
125, 132.853, 68.8057, 73.9413
126, 133.795, 68.4248, 74.1207
127, 134.737, 68.2188, 74.2318
128, 135.68, 68.6759, 74.2722
129, 136.624, 69.3553, 74.1941
130, 137.568, 71.3695, 74.1768
131, 138.514, 73.8964, 74.3427
132, 139.46, 76.4538, 74.0947
133, 140.407, 83.0762, 74.5397
134, 141.354, 84.6533, 74.4655
135, 142.302, 78.8059, 74.4421
136, 143.252, 75.5954, 74.7239
137, 144.201, 72.5518, 74.8722
138, 145.152, 70.9203, 75.0273
139, 146.103, 70.1523, 74.9453
140, 147.054, 69.5186, 74.8771
141, 148.007, 69.1877, 74.7269
142, 148.96, 69.154, 75.1186
143, 149.913, 69.7045, 75.1237
144, 150.867, 70.2665, 75.0168
145, 151.822, 71.478, 74.9433
146, 152.778, 72.8037, 75.0781
147, 153.734, 75.6212, 75.1038
148, 154.69, 80.0101, 75.3563
149, 155.647, 86.0268, 75.2973
150, 156.605, 87.8125, 75.409
152, 158.521, 77.8255, 75.909
154, 160.44, 72.6137, 75.5463
156, 162.361, 70.6457, 75.877
158, 164.283, 70.0861, 75.7519
160, 166.208, 70.3212, 75.9603
162, 168.134, 71.1198, 76.0309
164, 170.062, 73.5144, 76.1891
166, 171.991, 77.069, 76.2279
168, 173.922, 87.5385, 76.399
170, 175.855, 90.3322, 76.4258
172, 177.789, 78.4544, 76.4189
174, 179.725, 75.395, 76.6345
176, 181.662, 72.3088, 76.6884
178, 183.6, 71.6068, 76.9856
180, 185.54, 70.9613, 76.8426
182, 187.481, 71.4201, 76.7711
184, 189.423, 72.0568, 77.1706
186, 191.366, 73.6191, 77.2592
188, 193.311, 75.4429, 77.2233
190, 195.256, 79.5861, 77.4491
192, 197.203, 86.0986, 77.4357
194, 199.151, nan, 77.5408
196, 201.099, 86.0223, 77.6552
198, 203.049, 79.2202, 77.66
200, 205, 74.7352, 77.7089
202, 206.952, 73.6471, 77.62
204, 208.904, 72.8228, 77.9413
206, 210.858, 72.3384, 78.0369
208, 212.812, 72.1101, 77.9951
210, 214.767, 72.3797, 78.3835
212, 216.723, 72.6832, 78.1533
214, 218.68, 74.098, 78.1979
216, 220.638, 75.3057, 78.3281
218, 222.596, 78.6842, 78.9388
220, 224.555, 79.2333, 78.7193
222, 226.515, 84.9765, 78.6344
224, 228.475, 105.159, 78.9209
226, 230.437, 105.233, 78.8032
228, 232.398, 82.2529, 78.992
230, 234.361, 80.0266, 78.8764
232, 236.324, 79.5469, 79.1732
234, 238.288, 76.8256, 78.8633
236, 240.252, 75.201, 79.1311
238, 242.217, 74.4601, 79.1969
240, 244.182, 74.1299, 79.4778
242, 246.148, 73.5968, 79.2352
244, 248.115, 73.3282, 79.5757
246, 250.082, 73.4649, 79.5685
248, 252.05, 74.0484, 79.8206
250, 254.018, 74.1912, 79.8363
